"TPLOT","TRAN","ht_mean","ht_med","ht_dev","count","time"
16,"E320",5.7,5.5,1.09544511501033,5,99
16,"E320",8.7,8.5,0.836660026534076,5,11
16,"E330",7.1,7.5,0.547722557505166,5,99
16,"E330",11.3,11.5,0.836660026534076,5,11
16,"E334",5.3,5.5,0.836660026534076,5,99
16,"E334",8.7,8.5,0.447213595499958,5,11
16,"E335",NA,NA,NA,5,99
16,"E335",13.5,13.5,0,5,11
16,"W32",6.5,6.5,0,5,99
16,"W32",6.9,6.5,0.547722557505166,5,11
16,"W46",7.1,7.5,1.51657508881031,5,99
16,"W46",10.3,10.5,2.38746727726266,5,11
16,"W60",3.5,3.5,1.22474487139159,5,99
16,"W60",5.9,5.5,1.14017542509914,5,11
16,"W70",6.9,6.5,0.547722557505166,5,99
16,"W70",13.5,13.5,0,5,11
17,"E320",5.7,5.5,0.447213595499958,5,99
17,"E320",8.1,7.5,0.894427190999916,5,11
17,"E330",7.3,7.5,1.30384048104053,5,99
17,"E330",9.7,10.5,1.30384048104053,5,11
17,"E334",7.1,6.5,0.894427190999916,5,99
17,"E334",10.1,10.5,1.14017542509914,5,11
17,"E335",5.5,5.5,0.707106781186548,5,99
17,"E335",7.5,7.5,0,5,11
17,"W32",3.5,3.5,0,5,99
17,"W32",3.7,3.5,0.447213595499958,5,11
17,"W46",5.5,5.5,1.22474487139159,5,99
17,"W46",10.1,10.5,0.547722557505166,5,11
17,"W60",6.7,6.5,1.30384048104053,5,99
17,"W60",10.9,10.5,0.547722557505166,5,11
17,"W70",8.1,8.5,0.547722557505166,5,99
17,"W70",12.3,12.5,0.836660026534076,5,11
18,"E320",5.7,5.5,0.836660026534076,5,99
18,"E320",7.5,6.5,1.4142135623731,5,11
18,"E330",5.1,4.5,0.894427190999916,5,99
18,"E330",5.7,5.5,0.447213595499958,5,11
18,"E334",6.1,6.5,0.547722557505166,5,99
18,"E334",6.9,7.5,1.81659021245849,5,11
18,"E335",5.5,5.5,0,5,99
18,"E335",8.3,8.5,0.447213595499958,5,11
18,"W32",5.1,4.5,0.894427190999916,5,99
18,"W32",9.9,9.5,1.51657508881031,5,11
18,"W46",5.5,5.5,0,5,99
18,"W46",9.5,9.5,0,5,11
18,"W60",4.5,4.5,1,5,99
18,"W60",8.7,8.5,1.30384048104053,5,11
18,"W70",5.7,5.5,0.447213595499958,5,99
18,"W70",12.5,12.5,0,5,11
19,"E320",5.7,5.5,1.30384048104053,5,99
19,"E320",6.5,5.5,1.73205080756888,5,11
19,"E330",6.3,5.5,1.30384048104053,5,99
19,"E330",7.5,6.5,3.16227766016838,5,11
19,"E334",6.1,5.5,0.894427190999916,5,99
19,"E334",8.1,7.5,1.51657508881031,5,11
19,"W32",5.1,5.5,0.547722557505166,5,99
19,"W32",10.5,10.5,0.707106781186548,5,11
19,"W46",6.3,5.5,1.30384048104053,5,99
19,"W46",10.5,10.5,0,5,11
19,"W60",6.5,6.5,0,5,99
19,"W60",9.7,9.5,1.30384048104053,5,11
19,"W70",4.9,4.5,0.547722557505166,5,99
19,"W70",11.9,12.5,0.894427190999916,5,11
20,"E320",1.55,1.75,0.273861278752583,5,99
20,"E320",2.5,2.5,0,5,11
20,"E334",4.9,4.5,0.547722557505166,5,99
20,"E334",6.7,6.5,1.09544511501033,5,11
20,"S344",6.65,7.5,3.05982025615885,5,99
20,"S344",5.45,5.5,1.97167441531304,5,11
20,"W46",5.1,4.5,0.894427190999916,5,99
20,"W46",6.3,6.5,0.447213595499958,5,11
20,"W60",3.3,3.5,0.836660026534076,5,99
20,"W60",5.1,5,0.547722557505166,5,11
20,"W70",5.5,4.5,1.4142135623731,5,99
20,"W70",5.5,5.5,0,5,11
21,"S344",8.1,8.5,0.547722557505166,5,99
21,"S344",7.9,7.5,0.547722557505166,5,11
21,"W70",3.7,3.5,0.447213595499958,5,99
21,"W70",4.7,4.5,0.447213595499958,5,11
22,"S344",5.5,5.5,0,5,99
22,"S344",7.5,7.5,1,5,11
23,"S344",5.7,5.5,0.447213595499958,5,99
23,"S344",7.1,7.5,0.547722557505166,5,11
24,"S344",2.7,2.5,0.447213595499958,5,99
24,"S344",2.6,2.5,0.136930639376292,5,11
